测量里程,中线北坐标X,中线东坐标Y,中线高程H
279657,3805319.612,464325.8527,43.63202
279658,3805319.821,464324.8748,43.632577
279659,3805320.03,464323.8968,43.632973
279660,3805320.239,464322.9189,43.63298
279661,3805320.447,464321.9409,43.633136
279662,3805320.656,464320.9629,43.633422
279663,3805320.865,464319.985,43.633839
279664,3805321.074,464319.0071,43.634405
279665,3805321.283,464318.0291,43.634762
279666,3805321.492,464317.0512,43.635258
279667,3805321.7,464316.0732,43.635445
279668,3805321.909,464315.0952,43.635691
279669,3805322.118,464314.1173,43.635888
279670,3805322.327,464313.1393,43.636244
279671,3805322.536,464312.1613,43.636541
279672,3805322.744,464311.1834,43.636767
279673,3805322.953,464310.2055,43.636844
279674,3805323.162,464309.2275,43.63712
279675,3805323.371,464308.2495,43.637626
279676,3805323.579,464307.2715,43.637943
279677,3805323.788,464306.2936,43.638199
279678,3805323.997,464305.3156,43.638446
279679,3805324.206,464304.3376,43.638562
279680,3805324.415,464303.3597,43.638559
279681,3805324.624,464302.3818,43.638935
279682,3805324.832,464301.4038,43.639592
279683,3805325.041,464300.4258,43.640208
279684,3805325.25,464299.4478,43.640805
279685,3805325.458,464298.4698,43.641341
279686,3805325.667,464297.4919,43.641787
279687,3805325.876,464296.514,43.641804
279688,3805326.085,464295.5361,43.6427
279689,3805326.294,464294.5581,43.643627
279690,3805326.503,464293.5801,43.644263
279691,3805326.712,464292.6022,43.64444
279692,3805326.92,464291.6242,43.644476
279693,3805327.129,464290.6463,43.644793
279694,3805327.338,464289.6683,43.645399
279695,3805327.547,464288.6904,43.646226
279696,3805327.756,464287.7125,43.646862
279697,3805327.965,464286.7346,43.646979
279698,3805328.174,464285.7566,43.647335
279699,3805328.382,464284.7786,43.647711
279700,3805328.591,464283.8006,43.648088
279701,3805328.8,464282.8226,43.648434
279702,3805329.009,464281.8447,43.648721
279703,3805329.218,464280.8668,43.648937
279704,3805329.427,464279.8889,43.648984
279705,3805329.635,464278.9109,43.64912
279706,3805329.844,464277.9329,43.649507
279707,3805330.053,464276.9549,43.650003
279708,3805330.262,464275.977,43.65072
279709,3805330.47,464274.999,43.651206
279710,3805330.679,464274.0211,43.651362
279711,3805330.888,464273.0431,43.651199
279712,3805331.096,464272.065,43.651275
279713,3805331.305,464271.087,43.651652
279714,3805331.513,464270.109,43.652028
279715,3805331.723,464269.1311,43.652385
279716,3805331.931,464268.1531,43.652681
279717,3805332.14,464267.1751,43.653138
279718,3805332.348,464266.1972,43.653644
279719,3805332.557,464265.2192,43.653961
279720,3805332.766,464264.2412,43.654187
279721,3805332.975,464263.2633,43.654694
279722,3805333.183,464262.2853,43.65507
279723,3805333.392,464261.3073,43.655346
279724,3805333.601,464260.3293,43.655693
279725,3805333.81,464259.3514,43.656299
279726,3805334.019,464258.3734,43.656746
279727,3805334.227,464257.3954,43.657212
279728,3805334.436,464256.4175,43.657719
279729,3805334.645,464255.4396,43.657975
279730,3805334.854,464254.4617,43.657992
279731,3805335.063,464253.4837,43.658248
279732,3805335.272,464252.5058,43.658985
279733,3805335.481,464251.5278,43.659771
279734,3805335.689,464250.5498,43.660157
279735,3805335.898,464249.5718,43.660554
279736,3805336.107,464248.5938,43.66087
279737,3805336.315,464247.6159,43.661237
279738,3805336.524,464246.6379,43.661663
279739,3805336.733,464245.6599,43.66222
279740,3805336.942,464244.682,43.662586
279741,3805337.15,464243.704,43.662823
279742,3805337.359,464242.7261,43.663369
279743,3805337.568,464241.7481,43.663776
279744,3805337.777,464240.7702,43.664072
279745,3805337.986,464239.7923,43.664189
279746,3805338.194,464238.8142,43.664515
279747,3805338.403,464237.8362,43.665001
279748,3805338.612,464236.8582,43.665418
279749,3805338.82,464235.8802,43.665884
279750,3805339.029,464234.9022,43.666401
279751,3805339.238,464233.9243,43.666567
279752,3805339.447,464232.9464,43.666524
279753,3805339.655,464231.9683,43.66702
279754,3805339.864,464230.9904,43.667897
279755,3805340.073,464230.0124,43.668503
279756,3805340.282,464229.0346,43.66886
279757,3805340.491,464228.0566,43.669236
279758,3805340.7,464227.0786,43.669782
279759,3805340.909,464226.1007,43.670119
279760,3805341.117,464225.1228,43.670415
279761,3805341.326,464224.1447,43.670842
279762,3805341.535,464223.1668,43.671528
