测量里程,中线北坐标X,中线东坐标Y,中线高程H
15747.995,3632100.618,507912.7079,26.2287
15748.987,3632099.676,507912.3974,26.2286
15749.989,3632098.724,507912.0837,26.2292
15750.99,3632097.773,507911.7707,26.2304
15751.998,3632096.815,507911.4551,26.2314
15752.98,3632095.883,507911.1475,26.2316
15753.985,3632094.929,507910.833,26.2312
15754.988,3632093.977,507910.5186,26.2312
15755.989,3632093.025,507910.2047,26.2319
15756.987,3632092.077,507909.8921,26.2326
15757.987,3632091.128,507909.579,26.2325
15758.995,3632090.171,507909.2636,26.232
15759.985,3632089.231,507908.9535,26.2314
15760.985,3632088.281,507908.6406,26.231
15761.989,3632087.327,507908.326,26.2312
15762.995,3632086.371,507908.0114,26.2317
15763.985,3632085.431,507907.7019,26.2324
15764.996,3632084.471,507907.3852,26.2325
15765.987,3632083.53,507907.0747,26.232
15766.985,3632082.582,507906.7618,26.2316
15767.992,3632081.627,507906.4465,26.2315
15768.991,3632080.677,507906.1334,26.2318
15769.987,3632079.731,507905.8217,26.2319
15770.985,3632078.784,507905.5096,26.2308
15771.992,3632077.827,507905.194,26.2293
15772.995,3632076.875,507904.8797,26.2282
15773.993,3632075.927,507904.5666,26.2278
15774.985,3632074.985,507904.2558,26.2288
15775.987,3632074.033,507903.9424,26.2304
15776.983,3632073.087,507903.6305,26.231
15777.991,3632072.131,507903.3145,26.2308
15778.987,3632071.185,507903.0017,26.2308
15779.992,3632070.23,507902.6861,26.2304
15780.995,3632069.278,507902.3712,26.2298
15781.985,3632068.339,507902.0607,26.2294
15782.985,3632067.388,507901.7465,26.2296
15783.985,3632066.439,507901.4329,26.23
15784.987,3632065.488,507901.1188,26.2301
15785.99,3632064.535,507900.804,26.2299
15786.987,3632063.589,507900.4914,26.2295
15787.992,3632062.634,507900.1764,26.229
15788.984,3632061.692,507899.8656,26.2286
15789.984,3632060.743,507899.5523,26.2281
15790.991,3632059.786,507899.2367,26.2274
15791.988,3632058.839,507898.924,26.2265
15792.982,3632057.895,507898.6124,26.2263
15793.987,3632056.942,507898.2975,26.2267
15794.986,3632055.992,507897.9842,26.2267
15795.994,3632055.036,507897.6684,26.2263
15796.988,3632054.092,507897.3569,26.2249
15797.991,3632053.14,507897.0428,26.2237
15798.987,3632052.194,507896.7306,26.2227
15799.995,3632051.236,507896.4152,26.2229
15800.993,3632050.288,507896.1028,26.2238
15801.992,3632049.339,507895.7908,26.2245
15802.99,3632048.391,507895.4789,26.2249
15803.986,3632047.445,507895.1675,26.2254
15804.99,3632046.491,507894.8531,26.2257
15805.994,3632045.538,507894.5386,26.2261
15806.992,3632044.59,507894.2261,26.2261
15807.985,3632043.647,507893.9154,26.2262
15808.996,3632042.687,507893.5987,26.2263
15809.99,3632041.742,507893.2874,26.2261
15810.985,3632040.798,507892.9759,26.2258
15811.985,3632039.848,507892.6627,26.2256
15812.985,3632038.899,507892.35,26.2253
15813.992,3632037.942,507892.0346,26.2248
15814.99,3632036.994,507891.7223,26.2247
15815.99,3632036.044,507891.4087,26.225
15816.987,3632035.098,507891.0964,26.2248
15817.988,3632034.147,507890.7829,26.2247
15818.985,3632033.2,507890.4704,26.2245
15819.998,3632032.238,507890.153,26.224
15820.985,3632031.301,507889.8438,26.2239
15821.991,3632030.345,507889.5287,26.224
15822.997,3632029.39,507889.2138,26.2247
15823.987,3632028.45,507888.9035,26.2255
15824.991,3632027.497,507888.5889,26.2264
15825.995,3632026.544,507888.2743,26.2273
15826.996,3632025.592,507887.9599,26.2276
15827.989,3632024.65,507887.6483,26.228
15828.987,3632023.702,507887.335,26.2284
