¹ìÕí±àºÅ,²âÁ¿Àï³Ì,×ó¹ìºáÆ«,ÓÒ¹ìºáÆ«,×ó¹ìÊúÆ«,ÓÒ¹ìÊúÆ«
09,384960.091,1.7,1,13.1,13.4
00,384960.716,1.7,0.8,13.2,13.6
01,384961.341,1.8,0.8,13.2,13.7
02,384962.091,1.8,0.6,13.2,13.8
03,384962.716,1.7,0.8,13.3,13.9
04,384963.341,1.6,0.8,13.5,14
05,384963.965,1.6,0.9,13.7,14.1
06,384964.59,1.6,0.9,13.9,14.2
07,384965.215,1.6,0.7,14,14.2
08,384965.965,1.5,0.7,14,14.3
09,384966.59,1.5,0.6,14,14.3
00,384967.214,1.5,0.6,14.1,14.4
01,384967.839,1.6,0.7,14.1,14.3
02,384968.589,1.6,0.6,14.1,14.3
03,384969.214,1.5,0.6,14,14.2
04,384969.839,1.3,0.5,13.9,14
05,384970.464,1.1,0.6,13.7,14
06,384971.089,0.9,0.6,13.5,13.8
07,384971.713,0.8,0.7,13.2,13.6
08,384972.463,0.9,0.9,13,13.4
09,384973.088,0.9,1,12.9,13.2
00,384973.713,0.9,0.8,12.7,13
01,384974.338,1,0.8,12.5,12.7
02,384974.963,0.9,0.7,12.3,12.4
03,384975.712,1,0.8,12,12
04,384976.337,1.2,1.1,11.7,11.7
05,384976.962,1.4,1.1,11.6,11.5
06,384977.587,1.5,1.1,11.4,11.5
07,384978.212,1.5,1.1,11.3,11.5
08,384978.962,1.4,1,11.1,11.5
09,384979.586,1.4,0.9,10.8,11.2
00,384980.211,1.5,1,10.6,10.8
01,384980.836,1.6,1.1,10.3,10.3
02,384981.461,1.5,1,10,9.8
03,384982.211,1.3,0.9,9.9,9.5
04,384982.836,1.1,0.8,9.8,9.4
05,384983.461,1,0.7,9.7,9.4
06,384984.085,0.9,0.6,9.7,9.6
07,384984.71,1,0.5,9.7,9.8
08,384985.46,1.1,0.2,9.6,9.9
09,384986.085,1.2,0.1,9.6,9.8
00,384986.71,1.1,0.1,9.5,9.7
01,384987.335,0.9,0.1,9.5,9.7
02,384987.959,1,0.1,9.5,9.8
03,384988.584,1,0.1,9.6,9.9
04,384989.334,1,0.2,9.8,10.2
05,384989.959,0.9,0.3,10,10.4
06,384990.584,0.7,0.3,10.1,10.5
07,384991.208,0.7,0.4,10.1,10.5
08,384991.959,0.7,0.5,10,10.5
09,384992.584,0.4,0.3,10.1,10.6
00,384993.208,0.1,0.1,10.3,10.8
01,384993.833,0.1,0.1,10.4,10.9
02,384994.457,0.2,0.2,10.6,11
03,384995.207,0.5,0.1,10.7,11.1
04,384995.832,0.6,0.1,10.8,11.2
05,384996.457,0.5,-0.1,10.9,11.3
06,384997.082,0.4,0,11,11.4
07,384997.707,0.5,0.3,11.2,11.5
08,384998.457,0.6,0.3,11.3,11.5
09,384999.082,0.4,0.2,11.5,11.7
00,384999.707,0.2,0,11.7,11.8
01,385000.331,0.3,0.2,11.7,11.8
02,385000.956,0.4,0.1,11.7,11.8
03,385001.706,0.4,0.2,11.9,11.8
04,385002.331,0.4,0.2,12,12
05,385002.956,0.5,0.2,12.1,12.1
06,385003.58,0.5,0.3,12.1,12
07,385004.205,0.5,0.2,12,12
08,385004.955,0.5,0.2,11.9,11.9
09,385005.58,0.4,-0.1,11.8,11.9
00,385006.205,0.2,-0.2,11.9,12
01,385006.83,0.1,-0.3,11.9,12.2
02,385007.454,0.1,-0.3,12,12.3
