里程,左轨平面偏差量,右轨平面偏差量,左轨高程偏差量,右轨高程偏差量,左轨平面调整量,右轨平面调整量,左轨高程调整量,右轨高程调整量
384850.87,3.30,2.70,10.40,10.80,-0.50,0.00,0.00,-0.50
384851.49,3.30,2.90,10.30,10.80,-0.50,-0.50,0.00,-0.50
384852.24,3.30,3.00,10.20,10.70,-0.50,-0.50,0.00,-0.50
384852.87,3.20,2.90,10.20,10.80,-0.50,-0.50,0.00,-0.50
384853.49,3.10,2.80,10.30,10.80,-0.50,-0.50,0.00,-0.50
384854.12,3.10,2.90,10.30,10.80,-0.50,-0.50,0.00,-0.50
384854.74,3.10,3.00,10.20,10.70,-0.50,-0.50,0.00,-0.50
384855.49,3.20,3.30,10.10,10.40,-0.50,-1.00,0.50,0.00
384856.12,3.40,3.40,9.90,10.20,-0.50,-1.00,0.50,0.00
384856.74,3.50,3.30,9.80,10.10,-1.00,-1.00,0.50,0.00
384857.37,3.40,3.20,9.70,10.10,-0.50,-0.50,0.50,0.00
384857.99,3.30,3.00,9.60,10.10,-0.50,-0.50,0.50,0.00
384858.74,3.40,3.10,9.60,9.90,-0.50,-0.50,0.50,0.00
384859.37,3.50,3.10,9.60,9.70,-1.00,-1.00,0.50,0.50
384859.99,3.60,3.00,9.60,9.60,-1.00,-0.50,0.50,0.50
384860.62,3.70,3.00,9.50,9.40,-1.00,-0.50,1.00,1.00
384861.37,3.60,3.00,9.20,9.30,-1.00,-0.50,1.00,1.00
384861.99,3.40,3.00,9.20,9.50,-0.50,-0.50,1.00,0.50
384862.62,3.10,2.90,9.40,9.80,-0.50,-0.50,1.00,0.50
384863.24,2.90,2.70,9.70,10.10,0.00,0.00,0.50,0.00
384863.99,2.90,2.90,10.00,10.10,0.00,-0.50,0.00,0.00
384864.61,3.10,3.10,10.00,10.00,-0.50,-0.50,0.50,0.50
384865.24,3.20,3.10,10.00,10.00,-0.50,-0.50,0.50,0.50
384865.86,3.20,3.10,10.00,10.00,-0.50,-0.50,0.50,0.50
